iter	Passed	Remaining
331	1319	2654
332	1322	2648
333	1325	2642
334	1328	2637
335	1331	2631
336	1335	2626
337	1338	2621
338	1341	2616
339	1345	2611
340	1348	2605
341	1351	2600
342	1355	2595
343	1358	2590
344	1361	2584
345	1364	2579
346	1368	2574
347	1371	2568
348	1374	2562
349	1377	2557
350	1379	2551
351	1383	2547
352	1387	2542
353	1391	2540
354	1396	2537
355	1400	2533
356	1404	2530
357	1408	2526
358	1412	2522
359	1416	2518
360	1420	2514
361	1424	2510
362	1427	2505
363	1431	2500
364	1435	2497
365	1438	2492
366	1442	2488
367	1446	2484
368	1449	2479
369	1453	2474
370	1456	2469
371	1459	2464
372	1463	2459
373	1466	2454
374	1470	2450
375	1474	2446
376	1478	2443
377	1482	2439
378	1486	2435
379	1489	2430
380	1494	2427
381	1497	2423
382	1501	2419
383	1505	2415
384	1509	2411
385	1513	2407
386	1516	2402
387	1519	2396
388	1522	2391
389	1525	2385
390	1528	2381
391	1532	2377
392	1536	2373
393	1540	2369
394	1544	2365
395	1548	2362
396	1551	2357
397	1555	2352
398	1558	2347
399	1561	2341
400	1564	2337
401	1567	2331
402	1570	2326
403	1573	2321
404	1577	2317
405	1581	2313
406	1584	2309
407	1588	2305
408	1592	2301
409	1596	2296
410	1599	2291
411	1602	2286
412	1605	2281
413	1608	2277
414	1611	2272
415	1614	2267
416	1618	2262
417	1621	2257
418	1626	2254
419	1629	2250
420	1634	2247
421	1637	2243
422	1641	2239
423	1645	2235
424	1649	2232
425	1653	2227
426	1656	2222
427	1659	2217
428	1662	2212
429	1666	2208
430	1669	2204
431	1672	2199
432	1676	2195
433	1679	2189
434	1681	2184
435	1685	2179
436	1689	2176
437	1693	2172
438	1695	2167
439	1699	2163
440	1702	2158
441	1706	2154
442	1710	2150
443	1714	2146
444	1718	2142
445	1721	2138
446	1725	2134
447	1728	2130
448	1732	2125
449	1736	2121
450	1739	2118
451	1743	2114
452	1748	2110
453	1752	2107
454	1755	2103
455	1759	2099
456	1763	2095
457	1767	2091
458	1770	2087
459	1774	2082
460	1777	2078
461	1781	2074
462	1785	2070
463	1789	2066
464	1793	2063
465	1797	2059
466	1799	2053
467	1802	2049
468	1806	2045
469	1810	2041
470	1814	2037
471	1817	2033
472	1820	2028
473	1824	2024
474	1827	2019
475	1830	2015
476	1834	2010
477	1837	2006
478	1840	2001
479	1844	1997
480	1847	1993
481	1851	1990
482	1855	1986
483	1859	1982
484	1863	1978
485	1867	1974
486	1870	1970
487	1874	1966
488	1877	1961
489	1881	1958
490	1885	1954
491	1888	1950
492	1893	1946
493	1897	1943
494	1901	1939
495	1905	1935
496	1908	1931
497	1912	1928
498	1916	1924
499	1920	1920
500	1924	1916
501	1928	1912
502	1931	1908
503	1933	1903
504	1937	1898
505	1941	1895
506	1944	1891
507	1948	1887
508	1952	1883
509	1956	1879
510	1960	1875
511	1963	1871
512	1967	1867
513	1971	1863
514	1975	1860
515	1978	1856
516	1982	1852
517	1986	1848
518	1990	1844
519	1993	1840
520	1997	1836
521	2001	1832
522	2005	1829
523	2010	1825
524	2013	1821
525	2016	1817
526	2020	1813
527	2024	1809
528	2028	1806
529	2032	1802
530	2036	1798
531	2040	1794
532	2043	1790
533	2046	1785
534	2049	1781
535	2052	1777
536	2056	1773
537	2059	1768
538	2062	1763
539	2065	1759
540	2068	1755
541	2072	1751
542	2075	1746
543	2078	1742
544	2082	1738
545	2086	1734
546	2090	1731
547	2094	1727
548	2098	1724
549	2102	1720
550	2106	1716
551	2110	1712
552	2113	1708
553	2116	1704
554	2120	1699
555	2123	1695
556	2127	1691
557	2130	1687
558	2133	1683
559	2136	1679
560	2140	1674
561	2143	1670
562	2146	1666
563	2149	1661
564	2151	1656
565	2155	1652
566	2158	1648
567	2161	1644
568	2164	1639
569	2167	1634
570	2170	1630
571	2173	1626
572	2175	1621
573	2178	1617
574	2181	1612
575	2185	1609
576	2189	1604
577	2191	1600
578	2195	1596
579	2198	1591
580	2201	1587
581	2205	1583
582	2207	1579
583	2211	1575
584	2214	1570
585	2217	1566
586	2220	1562
587	2224	1558
588	2226	1553
589	2230	1549
590	2233	1545
591	2236	1541
592	2239	1536
593	2242	1532
594	2245	1528
595	2248	1524
596	2251	1520
597	2254	1515
598	2258	1511
599	2261	1507
600	2265	1503
601	2268	1499
602	2272	1495
603	2275	1491
604	2278	1487
605	2281	1483
606	2285	1479
607	2288	1475
608	2292	1471
609	2296	1467
610	2299	1463
611	2303	1460
612	2306	1456
613	2310	1452
614	2314	1448
615	2318	1445
616	2321	1441
617	2325	1437
618	2328	1433
619	2332	1429
620	2334	1424
621	2337	1420
622	2340	1416
623	2343	1411
624	2346	1407
625	2349	1403
626	2352	1399
627	2355	1395
628	2358	1391
629	2360	1386
630	2364	1382
631	2367	1378
632	2371	1374
633	2375	1371
634	2378	1367
635	2382	1363
636	2385	1359
637	2388	1355
638	2392	1351
639	2395	1347
640	2399	1343
641	2402	1339
642	2405	1335
643	2408	1331
644	2412	1327
645	2415	1323
646	2418	1319
647	2421	1315
648	2424	1311
649	2427	1307
650	2430	1303
651	2433	1299
652	2436	1294
653	2440	1290
654	2443	1286
655	2446	1283
656	2450	1279
657	2453	1275
658	2457	1271
659	2460	1267
660	2463	1263
661	2467	1259
662	2470	1255
663	2473	1251
664	2476	1247
665	2479	1243
666	2482	1239
667	2486	1235
668	2490	1232
669	2494	1228
670	2498	1224
671	2501	1220
672	2504	1216
673	2508	1213
674	2512	1209
675	2515	1205
676	2518	1201
677	2522	1198
678	2526	1194
679	2529	1190
680	2533	1186
681	2536	1182
682	2540	1179
683	2544	1175
684	2547	1171
685	2551	1167
686	2555	1164
687	2559	1160
688	2563	1156
689	2566	1153
690	2570	1149
691	2573	1145
692	2576	1141
693	2580	1137
694	2583	1133
695	2587	1130
696	2591	1126
697	2595	1122
698	2598	1119
699	2602	1115
700	2606	1111
701	2609	1107
702	2613	1104
703	2617	1100
704	2620	1096
705	2625	1093
706	2628	1089
707	2632	1085
708	2636	1082
709	2640	1078
710	2644	1074
711	2648	1071
712	2652	1067
713	2656	1063
714	2659	1060
715	2662	1056
716	2665	1052
717	2669	1048
718	2672	1044
719	2676	1040
720	2679	1037
721	2683	1033
722	2687	1029
723	2691	1026
724	2695	1022
725	2698	1018
726	2702	1014
727	2706	1011
728	2710	1007
729	2714	1003
730	2717	1000
731	2721	996
732	2724	992
733	2728	988
734	2731	984
735	2734	980
736	2737	977
737	2741	973
738	2744	969
739	2747	965
740	2750	961
741	2754	957
742	2757	953
743	2760	949
744	2764	946
745	2767	942
746	2770	938
747	2774	934
748	2777	930
749	2780	926
750	2784	923
751	2788	919
752	2792	915
753	2796	912
754	2799	908
755	2803	904
756	2806	901
757	2810	897
758	2814	893
759	2817	889
760	2821	886
761	2824	882
762	2828	878
763	2831	874
764	2835	871
765	2839	867
766	2843	863
767	2848	860
768	2852	856
769	2855	853
770	2859	849
771	2863	845
772	2867	841
773	2871	838
774	2875	834
775	2877	830
776	2881	827
777	2885	823
778	2889	819
779	2893	816
780	2896	812
781	2898	808
782	2900	803
783	2903	800
784	2906	796
785	2908	791
786	2912	788
787	2916	784
788	2920	780
789	2923	777
790	2926	773
791	2930	769
792	2933	765
793	2936	761
794	2940	758
795	2944	754
796	2947	750
797	2951	747
798	2954	743
799	2957	739
800	2961	735
801	2964	731
802	2967	728
803	2970	724
804	2973	720
805	2975	716
806	2978	712
807	2981	708
808	2983	704
809	2986	700
810	2989	696
811	2993	692
812	2996	689
813	3000	685
814	3003	681
815	3007	678
816	3010	674
817	3014	670
818	3017	666
819	3021	663
820	3025	659
821	3029	656
822	3033	652
823	3036	648
824	3040	644
825	3043	641
826	3045	637
827	3048	633
828	3052	629
829	3055	625
830	3059	622
831	3063	618
832	3066	614
833	3070	611
834	3073	607
835	3077	603
836	3080	599
837	3083	596
838	3087	592
839	3091	588
840	3095	585
841	3098	581
842	3102	577
843	3106	574
844	3110	570
845	3114	566
846	3118	563
847	3122	559
848	3126	556
849	3130	552
850	3133	548
851	3137	544
852	3140	541
853	3143	537
854	3147	533
855	3149	529
856	3153	526
857	3157	522
858	3160	518
859	3164	515
860	3168	511
861	3172	507
862	3175	504
863	3178	500
864	3182	496
865	3186	493
866	3189	489
867	3193	485
868	3197	482
869	3201	478
870	3205	474
871	3208	470
872	3211	467
873	3213	463
874	3216	459
875	3219	455
876	3223	452
877	3226	448
878	3229	444
879	3233	440
880	3236	437
881	3240	433
882	3244	429
883	3248	426
884	3251	422
885	3255	418
886	3259	415
887	3263	411
888	3267	407
889	3270	404
890	3274	400
891	3278	396
892	3281	393
893	3284	389
894	3288	385
895	3292	382
896	3296	378
897	3300	374
898	3304	371
899	3308	367
900	3311	363
901	3315	360
902	3319	356
903	3321	352
904	3324	348
905	3327	345
906	3330	341
907	3333	337
908	3336	334
909	3340	330
910	3344	326
911	3348	323
912	3351	319
913	3355	315
914	3359	312
915	3362	308
916	3366	304
917	3369	300
918	3372	297
919	3376	293
920	3379	289
921	3382	286
922	3386	282
923	3390	278
924	3394	275
925	3398	271
926	3402	267
927	3405	264
928	3408	260
929	3412	256
930	3416	253
931	3420	249
932	3423	245
933	3426	242
934	3430	238
935	3433	234
936	3436	231
937	3439	227
938	3443	223
939	3446	219
940	3449	216
941	3453	212
942	3456	208
943	3460	205
944	3463	201
945	3466	197
946	3470	194
947	3473	190
948	3476	186
949	3479	183
950	3482	179
951	3486	175
952	3490	172
953	3494	168
954	3497	164
955	3501	161
956	3505	157
957	3509	153
958	3513	150
959	3516	146
960	3520	142
961	3524	139
962	3528	135
963	3531	131
964	3534	128
965	3537	124
966	3540	120
967	3543	117
968	3547	113
969	3551	109
970	3554	106
971	3557	102
972	3561	98
973	3564	95
974	3568	91
975	3571	87
976	3574	84
977	3577	80
978	3581	76
979	3584	73
980	3587	69
981	3591	65
982	3595	62
983	3599	58
984	3603	54
985	3607	51
986	3611	47
987	3614	43
988	3618	40
989	3621	36
990	3625	32
991	3629	29
992	3633	25
993	3637	21
994	3640	18
995	3644	14
996	3647	10
997	3651	7
998	3654	3
999	3659	0
