iter	Logloss
0	0.683621319
1	0.6749050859
2	0.6672592532
3	0.6568025598
4	0.6487123056
5	0.639248097
6	0.6307712868
7	0.6226804429
8	0.6133396315
9	0.6055750087
10	0.5976010014
11	0.5888176149
12	0.5807997478
13	0.5735063783
14	0.5658568599
15	0.5594402811
16	0.5518153462
17	0.5445220505
18	0.5384085835
19	0.533015265
20	0.5264225098
21	0.5214120248
22	0.5153444447
23	0.5099495413
24	0.504524231
25	0.498294001
26	0.4912730784
27	0.4855231686
28	0.481104496
29	0.474890004
30	0.4691874923
31	0.4648273486
32	0.4604380142
33	0.4554481691
34	0.4501151486
35	0.4449886746
36	0.4412269039
37	0.4366090194
38	0.4316255505
39	0.4267445808
40	0.4233875367
41	0.4191627687
42	0.4161056666
43	0.4123780624
44	0.4087511514
45	0.4042418475
46	0.4017799488
47	0.3972824023
48	0.3941337106
49	0.390561864
50	0.387336989
51	0.3833388914
52	0.3804936063
53	0.3774812118
54	0.374157044
55	0.3719497902
56	0.368298443
57	0.3656376641
58	0.3631562311
59	0.3604544672
60	0.3571589742
61	0.3543787049
62	0.3512028127
63	0.3481439415
64	0.3458785642
65	0.343078171
66	0.3397556618
67	0.3370906443
68	0.3351244719
69	0.3324940999
70	0.3302351357
71	0.3284296598
72	0.3258474599
73	0.3229111381
74	0.3208762275
75	0.3185403428
76	0.3160414028
77	0.3132299893
78	0.3111904347
79	0.3087399616
80	0.3065987555
81	0.3042499524
82	0.301779466
83	0.2999847338
84	0.2976843608
85	0.2958950651
86	0.2931800879
87	0.2912414477
88	0.2888304853
89	0.2863162497
90	0.2843612265
91	0.2833819919
92	0.2815070774
93	0.2795359662
94	0.2779307527
95	0.2761567342
96	0.2742985527
97	0.2725853298
98	0.2711796046
99	0.269727108
100	0.2685241699
101	0.2671461612
102	0.2656494177
103	0.2640242277
104	0.2624029998
105	0.2620791375
106	0.2602350355
107	0.2592867054
108	0.2583345422
109	0.2563701759
110	0.2549453404
111	0.2538175168
112	0.2520297691
113	0.250759954
114	0.2497274242
115	0.2485578786
116	0.2471805333
117	0.245923784
118	0.2450637449
119	0.2435282279
120	0.2420914691
121	0.2407032695
122	0.2395699727
123	0.238473754
124	0.2369596693
125	0.2361232371
126	0.2351484068
127	0.2339789349
128	0.2331432951
129	0.2318736274
130	0.2304054297
131	0.2291991377
132	0.228169022
133	0.2274544757
134	0.2261218748
135	0.2252855716
136	0.2243867036
137	0.2236102192
138	0.222503183
139	0.2216665664
140	0.2205431104
141	0.2190045711
142	0.2177939668
143	0.2167196596
144	0.216178378
145	0.2153246599
146	0.2141778181
147	0.2134802077
148	0.2124410436
149	0.2114007922
150	0.2105499857
151	0.2095778645
152	0.2087562672
153	0.2076981586
154	0.2072822645
155	0.2061936015
156	0.2050012045
157	0.2038604441
158	0.2029220286
159	0.2019169388
160	0.2008324775
161	0.1998206429
162	0.1997506883
163	0.1987575955
164	0.1979401998
165	0.197176726
166	0.1962237704
167	0.1957891529
168	0.1950609327
169	0.1943143762
170	0.1935868747
171	0.1929599191
172	0.1919741608
173	0.1910055409
174	0.1905482195
175	0.1896989979
176	0.1892013734
177	0.1883575513
178	0.1878346429
179	0.1870671332
180	0.1864481756
181	0.1856867472
182	0.1844924153
183	0.1837201694
184	0.1831179817
185	0.1822461483
186	0.1812770309
187	0.1807007721
188	0.1802752582
189	0.17933664
190	0.1788909286
191	0.1782128523
192	0.1776406108
193	0.1769345049
194	0.1764590683
195	0.1756083908
196	0.1750303996
197	0.174605236
198	0.1738642448
199	0.1732242971
200	0.1724203727
201	0.1716797686
202	0.1710845837
203	0.1704605397
204	0.1699066162
205	0.1692105353
206	0.1684601088
207	0.1679276913
208	0.1674356507
209	0.167003908
210	0.166584881
211	0.1661115269
212	0.1653444963
213	0.1649066722
214	0.164227048
215	0.1638311303
216	0.1632352083
217	0.163112364
218	0.1625043712
219	0.161785568
220	0.1611685453
221	0.160627061
222	0.1598096101
223	0.1593535419
224	0.1587067019
225	0.1581489452
226	0.1575312776
227	0.1568790381
228	0.1563941845
229	0.1559769635
230	0.1553785905
231	0.1548196912
232	0.1543398871
233	0.1538567105
234	0.1531560686
235	0.1525820672
236	0.1522450102
237	0.1519149651
238	0.1513244518
239	0.150902421
240	0.1503459175
241	0.1497726625
242	0.1491123144
243	0.1482795126
244	0.1476285815
245	0.1469254609
246	0.1463549333
247	0.145845662
248	0.1454332969
249	0.1449234543
250	0.1443960494
251	0.1438112121
252	0.1431504217
253	0.1424907095
254	0.1421905554
255	0.1416565715
256	0.1411140645
257	0.1406714766
258	0.1401327198
259	0.1398110689
260	0.1394153908
261	0.1389028393
262	0.138539927
263	0.1379719518
264	0.137510917
265	0.1371994387
266	0.1367536996
267	0.1362562871
268	0.1360580057
269	0.135767711
270	0.1356459171
271	0.1352852347
272	0.1348484334
273	0.1344162024
274	0.1340930128
275	0.1336974545
276	0.1331904775
277	0.1327419005
